~id,~from,~to,~label
e0,github_cloner/config.py,github_cloner/config.py:Settings,CONTAINS
e1,github_cloner/config.py,module:os,IMPORTS
e2,github_cloner/main.py,github_cloner/main.py:lifespan,CONTAINS
e3,github_cloner/main.py,github_cloner/main.py:clone_repo_endpoint,CONTAINS
e4,github_cloner/main.py,module:os,IMPORTS
e5,github_cloner/main.py,module:uuid,IMPORTS
e6,github_cloner/main.py,module:asyncio,IMPORTS
e7,github_cloner/main.py,module:datetime.datetime,IMPORTS
e8,github_cloner/main.py,module:datetime.timedelta,IMPORTS
e9,github_cloner/main.py,module:datetime.timezone,IMPORTS
e10,github_cloner/main.py,module:fastapi.FastAPI,IMPORTS
e11,github_cloner/main.py,module:fastapi.HTTPException,IMPORTS
e12,github_cloner/main.py,module:fastapi.BackgroundTasks,IMPORTS
e13,github_cloner/main.py,module:contextlib.asynccontextmanager,IMPORTS
e14,github_cloner/main.py,module:config.settings,IMPORTS
e15,github_cloner/main.py,module:models.CloneRequest,IMPORTS
e16,github_cloner/main.py,module:models.CloneResponse,IMPORTS
e17,github_cloner/main.py,module:services.validate_github_url,IMPORTS
e18,github_cloner/main.py,module:services.clone_repository,IMPORTS
e19,github_cloner/main.py,module:services.cleanup_task,IMPORTS
e20,github_cloner/main.py,module:services.cleanup_stale_directories_worker,IMPORTS
e21,github_cloner/main.py,module:shutil,IMPORTS
e22,github_cloner/services.py,github_cloner/services.py:validate_github_url,CONTAINS
e23,github_cloner/services.py,github_cloner/services.py:clone_repository,CONTAINS
e24,github_cloner/services.py,github_cloner/services.py:cleanup_task,CONTAINS
e25,github_cloner/services.py,github_cloner/services.py:cleanup_stale_directories_worker,CONTAINS
e26,github_cloner/services.py,module:os,IMPORTS
e27,github_cloner/services.py,module:shutil,IMPORTS
e28,github_cloner/services.py,module:time,IMPORTS
e29,github_cloner/services.py,module:asyncio,IMPORTS
e30,github_cloner/services.py,module:httpx,IMPORTS
e31,github_cloner/services.py,module:git.Repo,IMPORTS
e32,github_cloner/services.py,module:config.settings,IMPORTS
